# TEST CONFIGURATION BEGIN
# Dataset Stream:  -  n_targets: 1
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: result.csv - batch_size: 10 - pretrain_size: 101 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1]
4591,0.929556,0.945000,0.992000,0.995000,0.546530,0.725000,0.957403,0.977528
4791,0.930000,0.940000,0.992128,0.995000,0.542166,0.371399,0.957512,0.960286
4991,0.928776,0.900000,0.991837,0.985000,0.541666,0.527522,0.956537,0.938650
5191,0.928824,0.930000,0.991765,0.990000,0.549547,0.680292,0.956655,0.958480
5391,0.929623,0.950000,0.991698,0.990000,0.553440,0.660441,0.956081,0.938969
5591,0.929818,0.935000,0.991636,0.990000,0.550663,0.448217,0.955475,0.935733
5791,0.930175,0.940000,0.991754,0.995000,0.552963,0.616246,0.956137,0.973945
5991,0.929831,0.920000,0.991695,0.990000,0.550705,0.486356,0.955757,0.944460
6191,0.930328,0.945000,0.991803,0.995000,0.555080,0.674364,0.956487,0.975892
6391,0.930317,0.930000,0.991587,0.985000,0.552673,0.463190,0.955128,0.906133
6591,0.929538,0.905000,0.991077,0.975000,0.548021,0.405507,0.952442,0.869927
6791,0.930597,0.965000,0.991343,1.000000,0.549455,0.615807,0.953394,1.000000
6991,0.929710,0.900000,0.991449,0.995000,0.545369,0.424460,0.954235,0.977528
7191,0.930282,0.950000,0.991549,0.995000,0.547784,0.640158,0.954588,0.968691
7391,0.930137,0.925000,0.991644,0.995000,0.546721,0.509483,0.955187,0.974962
7591,0.930400,0.940000,0.991733,0.995000,0.543923,0.368753,0.955194,0.953875
7791,0.930260,0.925000,0.991558,0.985000,0.542956,0.506579,0.954294,0.921875
7991,0.930380,0.935000,0.991266,0.980000,0.542994,0.545455,0.952577,0.878049
8191,0.930370,0.930000,0.991358,0.995000,0.544435,0.593968,0.953176,0.974962
8391,0.930602,0.940000,0.991566,1.000000,0.543245,0.476440,0.954182,1.000000
8591,0.930706,0.935000,0.991647,0.995000,0.544474,0.593242,0.954574,0.971591
8791,0.930115,0.905000,0.991379,0.980000,0.544008,0.525000,0.953420,0.914439
8991,0.930225,0.935000,0.991461,0.995000,0.544062,0.546406,0.953765,0.970220
9191,0.929890,0.915000,0.991648,1.000000,0.544613,0.563431,0.955137,1.000000
9391,0.929677,0.920000,0.991398,0.980000,0.543362,0.487179,0.953844,0.897959
9591,0.929789,0.935000,0.991368,0.990000,0.544424,0.592987,0.953612,0.941860
9791,0.930206,0.950000,0.991340,0.990000,0.546700,0.660441,0.953347,0.938969
9991,0.930000,0.920000,0.991111,0.980000,0.547476,0.576159,0.952372,0.914439
10191,0.929208,0.890000,0.991188,0.995000,0.543496,0.371967,0.953047,0.978921
10391,0.929417,0.940000,0.991359,1.000000,0.543530,0.545455,0.953922,1.000000
10591,0.929619,0.940000,0.991238,0.985000,0.545340,0.633811,0.953260,0.918523
10791,0.929626,0.930000,0.991308,0.995000,0.545365,0.550562,0.953436,0.965035
10991,0.929450,0.920000,0.991193,0.985000,0.543373,0.424253,0.952730,0.910714
11191,0.929189,0.915000,0.990991,0.980000,0.541965,0.468085,0.951656,0.893702
11391,0.929027,0.920000,0.991150,1.000000,0.543624,0.609375,0.952767,1.000000
11591,0.929217,0.940000,0.991304,1.000000,0.545314,0.635480,0.953625,1.000000
11791,0.929915,0.970000,0.991368,0.995000,0.547315,0.711954,0.953713,0.960286
11991,0.929328,0.895000,0.991345,0.990000,0.543415,0.313277,0.953662,0.950884
12191,0.929587,0.945000,0.991405,0.995000,0.548177,0.745370,0.954263,0.980119
12391,0.930244,0.970000,0.991545,1.000000,0.550844,0.754098,0.954852,1.000000
12591,0.930320,0.935000,0.991520,0.990000,0.552713,0.647887,0.954845,0.954296
12791,0.930157,0.920000,0.991417,0.985000,0.552445,0.536903,0.954405,0.930265
12991,0.930000,0.920000,0.991395,0.990000,0.552936,0.577167,0.954465,0.957192
13191,0.929924,0.925000,0.991298,0.985000,0.553319,0.574589,0.954018,0.927711
13391,0.929474,0.900000,0.991278,0.990000,0.550783,0.392467,0.953968,0.950884
13591,0.929333,0.920000,0.991333,0.995000,0.553392,0.661017,0.954630,0.982487
13791,0.929562,0.945000,0.991022,0.970000,0.551774,0.325153,0.952677,0.685699
13991,0.929568,0.930000,0.990791,0.975000,0.553097,0.627660,0.951557,0.883883
14191,0.929433,0.920000,0.990709,0.985000,0.552492,0.512195,0.951132,0.921875
14391,0.929510,0.935000,0.990629,0.985000,0.553065,0.593242,0.950690,0.918523
14591,0.929931,0.960000,0.990690,0.995000,0.556295,0.767644,0.951014,0.973945
14791,0.930068,0.940000,0.990680,0.990000,0.556445,0.568190,0.950874,0.938969
14991,0.930403,0.955000,0.990738,0.995000,0.558343,0.703362,0.951133,0.971591
15191,0.930331,0.925000,0.990728,0.990000,0.556470,0.368155,0.951022,0.941860
15391,0.930327,0.930000,0.990784,0.995000,0.554901,0.389180,0.951246,0.970220
15591,0.930516,0.945000,0.990839,0.995000,0.556517,0.672424,0.951491,0.971591
15791,0.930255,0.910000,0.990892,0.995000,0.554212,0.352285,0.951679,0.968691
15991,0.929937,0.905000,0.990818,0.985000,0.552343,0.410670,0.951374,0.930265
16191,0.929938,0.930000,0.990745,0.985000,0.551706,0.495495,0.950874,0.900990
16391,0.929816,0.920000,0.990736,0.990000,0.551522,0.538106,0.950925,0.954296
16591,0.929636,0.915000,0.990727,0.990000,0.551637,0.557292,0.950950,0.952663
16791,0.929521,0.920000,0.990659,0.985000,0.550869,0.487179,0.950596,0.921875
16991,0.929763,0.950000,0.990710,0.995000,0.551271,0.591336,0.950779,0.968691
17191,0.929415,0.900000,0.990643,0.985000,0.549855,0.445061,0.950484,0.927711
17391,0.929364,0.925000,0.990751,1.000000,0.549391,0.509483,0.951077,1.000000
17591,0.929600,0.950000,0.990743,0.990000,0.550569,0.660326,0.950935,0.935733
17791,0.929492,0.920000,0.990847,1.000000,0.550413,0.538106,0.951556,1.000000
17991,0.929721,0.950000,0.990838,0.990000,0.550510,0.557522,0.951367,0.927954
18191,0.929448,0.905000,0.990718,0.980000,0.549397,0.460534,0.950776,0.901840
18391,0.929016,0.890000,0.990656,0.985000,0.547924,0.438776,0.950544,0.932615
18591,0.928865,0.915000,0.990486,0.975000,0.546275,0.369436,0.949612,0.858196
18791,0.928717,0.915000,0.990481,0.990000,0.546975,0.591346,0.949740,0.958480
18991,0.928677,0.925000,0.990476,0.990000,0.546290,0.475891,0.949642,0.938969
19191,0.928848,0.945000,0.990419,0.985000,0.548458,0.713840,0.949435,0.932615
19391,0.928601,0.905000,0.990415,0.990000,0.546715,0.373764,0.949387,0.944460
19591,0.928615,0.930000,0.990410,0.990000,0.546997,0.573171,0.949360,0.946809
19791,0.928629,0.930000,0.990305,0.980000,0.546538,0.495677,0.948734,0.878049
19991,0.928643,0.930000,0.990352,0.995000,0.546337,0.525102,0.948926,0.970220
